whisky_link,whisky_name,whisky_age,bottling_date,whisky_name_suffix,alcohol_pct
https://www.whisky.com/whisky-database/details/glenfarclas-02-liter.html,Glenfarclas,25Y,,"0,2 Liter",- 43%
https://www.whisky.com/whisky-database/details/glenfarclas.html,Glenfarclas,25Y,,,- 43%
https://www.whisky.com/whisky-database/details/talisker-port-ruighe.html,Talisker,,,Port Ruighe,- 45.8%
https://www.whisky.com/whisky-database/details/talisker-port-ruighe-with-2-glasses.html,Talisker,,,Port Ruighe mit 2 Gläsern,- 45.8%
https://www.whisky.com/whisky-database/details/glendronach-allardice.html,Glendronach,18Y,,Allardice,- 46%
https://www.whisky.com/whisky-database/details/glendronach-glendronach-allardice.html,Glendronach,18Y,,Glendronach Allardice,- 46%
https://www.whisky.com/whisky-database/details/glenfarclas-4.html,Glenfarclas,12Y,,,- 43%
https://www.whisky.com/whisky-database/details/glenfarclas-d5af87f99d.html,Glenfarclas,12Y,,,- 43%
https://www.whisky.com/whisky-database/details/glenfarclas-mit-2-glaesern-1.html,Glenfarclas,12Y,,mit 2 Gläsern,- 43%
https://www.whisky.com/whisky-database/details/laphroaig-quarter-cask-neue-ausstattung.html,Laphroaig,,,Quarter Cask - new Casing,- 48%
https://www.whisky.com/whisky-database/details/laphroaig-laphroaig-quarter-cask.html,Laphroaig,,,Quarter Cask,- 48%
https://www.whisky.com/whisky-database/details/bunnahabhain-altes-design.html,Bunnahabhain,12Y,,altes Design,- 46.3%
https://www.whisky.com/whisky-database/details/auchentoshan-three-wood-1.html,Auchentoshan,,,Three Wood,- 43%
https://www.whisky.com/whisky-database/details/talisker.html,Talisker,10Y,,,- 45.8%
https://www.whisky.com/whisky-database/details/miniatur-glenfarclas-105.html,Glenfarclas,,,105,- 60%
https://www.whisky.com/whisky-database/details/glenfarclas-105-cask-strength-3.html,Glenfarclas,,,105 Cask Strength,- 60%
https://www.whisky.com/whisky-database/details/edradour.html,Edradour,10Y,,,- 40%
https://www.whisky.com/whisky-database/details/bowmore-2.html,Bowmore,18Y,,,- 43%
https://www.whisky.com/whisky-database/details/bowmore-bowmore.html,Bowmore,18Y,,,- 43%
https://www.whisky.com/whisky-database/details/cragganmore-14.html,Cragganmore,12Y,,,- 40%
https://www.whisky.com/whisky-database/details/cragganmore-5.html,Cragganmore,12Y,,,- 40%
https://www.whisky.com/whisky-database/details/bowmore-darkest.html,Bowmore,15Y,,Darkest,- 43%
