whisky_url,distillery_name_inner,country,region,whisky_type,bottler,whisky_link,whisky_name_suffix,whisky_rating,num_ratings,num_reviews,whisky_age,alcohol_pct,full_name,Chill filtration - With,Artifical colouring - Without,Artifical colouring - With,Chill filtration - Without,Note_Coffee,Note_Pear,Note_Ham,Note_Tropical_Fruit,Note_Apple,Note_Mint,Note_Plum,Note_Nuts,Note_Vanilla,Note_Cinnamon,Note_Dark_Chocolate,Note_Oil,Note_Pepper,Note_Spices,Note_Grape,Note_Banana,Note_Caramel,Note_Berries,Note_Lemon,Note_Lime,Note_Sweet,Note_Strawberry,Note_Rye,Note_Maritime_Notes,Note_Bonfire_Smoke,Note_Blackberry,Note_Cake,Note_Clove,Note_Date,Note_Black_Currant,Note_Anis,Note_Grass,Note_Fruit,Note_Chocolate,Note_Heather,Note_Hazelnut,Note_Ginger,Note_Green_Apple,Note_Herb,Note_Herbs,Note_Sherry,Note_Honey,Note_Malt,Note_Peat_Smoke,Note_Floral,Note_Barley,Note_Walnut,Note_Wheat,Note_Fig,Note_Peach,Note_Leather,Note_Pineapple,Note_Melon,Note_Alcohol,Note_Orange,Note_Lemon_Peel,Note_Red_Currant,Note_Seaweed,Note_Chili,Note_Raisin,Note_Oak,Note_Medicinal_Smoke,Note_Zitrus,Note_Tobacco,Note_Nutmeg,Note_Cherry,Note_Almonds,Note_Kiwi,Note_Hay,Note_Salt,Note_Coconut,Note_Dried_Fruit,Note_Grapefruit,Note_Iodine
https://www.whisky.com/whisky-database/details/lagavulin.html,Lagavulin,Scotland,Islay,Single Malt Whisky,Original bottling,https://www.whisky.com/whisky-database/details/lagavulin.html,,4.5,1449,714,16,43,Lagavulin 16,1,0,1,0,1,1,2,0,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,5,0,0,5,2,1,1,1,1,1,1,0,2,1,1,0,1,0,1,1,3,1,2,10,1,1,1,0,1,1,1,1,1,1,1,1,0,4,1,1,3,1,1,1,1,1,1,0,0,2,0,1,0,1
https://www.whisky.com/whisky-database/details/ardbeg-ten.html,Ardbeg,Scotland,Islay,Single Malt Whisky,Original bottling,https://www.whisky.com/whisky-database/details/ardbeg-ten.html,TEN,4.2,1095,642,10,46,Ardbeg 10 TEN,0,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,5,0,0,4,2,0,1,1,0,0,1,1,2,1,1,0,1,1,1,1,1,1,2,10,1,1,1,0,1,0,1,1,1,1,1,1,0,3,1,1,2,1,2,1,1,1,1,0,1,1,0,1,1,1
https://www.whisky.com/whisky-database/details/highland-park.html,Highland Park,Scotland,Islands,Single Malt Whisky,Original bottling,https://www.whisky.com/whisky-database/details/highland-park.html,,3.8,1091,570,12,40,Highland Park 12,1,0,0,0,1,1,1,0,1,0,1,1,1,0,1,1,1,4,0,1,1,1,1,0,8,1,0,1,1,1,1,1,1,0,0,1,3,1,4,1,1,1,1,4,6,3,4,10,1,0,1,0,1,1,1,1,0,1,1,0,0,1,1,1,4,1,1,1,1,1,1,0,0,1,0,1,1,1
https://www.whisky.com/whisky-database/details/balvenie-double-wood.html,Balvenie,Scotland,Speyside,Single Malt Whisky,Original bottling,https://www.whisky.com/whisky-database/details/balvenie-double-wood.html,Double Wood,3.9,960,465,12,40,Balvenie 12 Double Wood,1,0,1,0,1,1,0,1,1,1,0,5,4,2,1,2,1,5,1,1,1,1,1,1,10,0,0,0,0,0,1,1,1,0,0,0,5,1,1,1,0,1,1,1,8,3,2,1,1,0,1,0,1,1,0,1,0,1,3,0,0,0,1,1,6,0,4,1,1,1,1,0,0,0,0,1,1,0
https://www.whisky.com/whisky-database/details/balvenie-double-wood.html,Balvenie,Scotland,Speyside,Single Malt Whisky,Original bottling,https://www.whisky.com/whisky-database/details/balvenie-double-wood.html,Double Wood,3.9,959,464,12,40,Balvenie 12 Double Wood,1,0,1,0,1,1,0,1,1,1,0,5,4,2,1,2,1,5,1,1,1,1,1,1,10,0,0,0,0,0,1,1,1,0,0,0,5,1,1,1,0,1,1,1,8,3,2,1,1,0,1,0,1,1,0,1,0,1,3,0,0,0,1,1,6,0,4,1,1,1,1,0,0,0,0,1,1,0
https://www.whisky.com/whisky-database/details/laphroaig-1.html,Laphroaig,Scotland,Islay,Single Malt Whisky,Original bottling,https://www.whisky.com/whisky-database/details/laphroaig-1.html,,3.9,913,519,10,40,Laphroaig 10,1,0,1,0,1,1,1,0,1,1,1,1,1,0,1,1,1,2,0,1,1,0,1,0,5,0,0,6,2,0,0,0,0,0,1,1,1,1,1,0,1,0,1,1,1,1,2,10,0,1,0,0,0,0,1,0,0,1,1,1,0,4,1,0,2,5,1,1,1,0,1,0,0,3,0,1,1,2
https://www.whisky.com/whisky-database/details/laphroaig-1.html,Laphroaig,Scotland,Islay,Single Malt Whisky,Original bottling,https://www.whisky.com/whisky-database/details/laphroaig-1.html,,4.6,113,33,10,40,Laphroaig 10,1,0,1,0,1,1,1,0,1,1,1,1,1,0,1,1,1,2,0,1,1,0,1,0,5,0,0,6,2,0,0,0,0,0,1,1,1,1,1,0,1,0,1,1,1,1,2,10,0,1,0,0,0,0,1,0,0,1,1,1,0,4,1,0,2,5,1,1,1,0,1,0,0,3,0,1,1,2
https://www.whisky.com/whisky-database/details/ardbeg-uigeadail.html,Ardbeg,Scotland,Islay,Single Malt Whisky,Original bottling,https://www.whisky.com/whisky-database/details/ardbeg-uigeadail.html,Uigeadail,4.6,900,473,NAS,54.2,Ardbeg Uigeadail,0,0,0,1,1,1,1,1,1,0,1,1,2,1,1,1,1,3,0,1,1,1,1,1,7,0,0,2,2,1,1,1,1,0,1,0,2,1,1,1,1,0,3,1,5,1,2,10,1,1,1,0,1,0,1,0,0,1,1,1,0,1,1,1,3,1,1,1,1,1,0,0,0,1,0,1,0,1
https://www.whisky.com/whisky-database/details/glendronach.html,Glendronach,Scotland,Highlands,Single Malt Whisky,Original bottling,https://www.whisky.com/whisky-database/details/glendronach.html,,4.1,760,551,12,43,Glendronach 12,1,0,0,0,1,1,0,1,1,0,1,3,3,1,1,1,1,4,1,1,1,1,1,1,8,0,0,1,0,1,1,1,1,0,0,1,6,1,1,1,1,1,2,1,10,1,2,1,1,1,1,0,1,0,1,0,1,1,1,1,0,1,1,2,4,1,1,1,1,1,1,0,0,1,0,1,0,0
https://www.whisky.com/whisky-database/details/bowmore-new-cardboard-box.html,Bowmore,Scotland,Islay,Single Malt Whisky,Original bottling,https://www.whisky.com/whisky-database/details/bowmore-new-cardboard-box.html,(new cardboard box),3.7,719,418,12,40,Bowmore 12 (new cardboard box),1,0,1,0,1,1,1,1,1,0,1,1,1,1,2,1,1,2,1,0,1,1,1,1,6,0,0,1,1,0,1,1,1,1,0,1,3,2,1,0,0,0,2,1,4,2,1,10,1,0,1,0,1,1,1,0,0,1,1,0,0,1,1,1,3,1,3,1,1,1,1,0,1,1,0,1,1,1
https://www.whisky.com/whisky-database/details/glenmorangie-giraffe.html,Glenmorangie,Scotland,Highlands,Single Malt Whisky,Original bottling,https://www.whisky.com/whisky-database/details/glenmorangie-giraffe.html,Giraffe,3.4,716,319,10,40,Glenmorangie 10 Giraffe,1,0,1,0,0,2,0,0,1,1,1,3,6,0,1,2,1,4,1,1,1,1,1,0,10,0,0,1,0,0,1,0,1,0,0,1,9,1,1,1,0,1,1,2,1,2,4,1,1,1,0,1,0,1,0,1,1,1,2,1,0,1,1,0,4,0,4,0,1,0,1,0,1,0,0,1,1,0
https://www.whisky.com/whisky-database/details/dalwhinnie.html,Dalwhinnie,Scotland,Highlands,Single Malt Whisky,Original bottling,https://www.whisky.com/whisky-database/details/dalwhinnie.html,,3.6,707,360,15,43,Dalwhinnie 15,1,0,1,0,0,1,1,1,1,0,1,2,3,1,1,1,1,4,1,1,1,1,1,0,10,0,0,1,1,0,0,1,1,0,0,1,6,1,4,1,0,1,1,5,1,5,4,3,1,1,0,1,1,1,1,0,1,1,1,1,0,0,1,1,5,0,1,0,1,0,1,0,1,1,0,1,1,0
https://www.whisky.com/whisky-database/details/dalwhinnie.html,Dalwhinnie,Scotland,Highlands,Single Malt Whisky,Original bottling,https://www.whisky.com/whisky-database/details/dalwhinnie.html,,3.6,39,10,15,43,Dalwhinnie 15,1,0,1,0,0,1,1,1,1,0,1,2,3,1,1,1,1,4,1,1,1,1,1,0,10,0,0,1,1,0,0,1,1,0,0,1,6,1,4,1,0,1,1,5,1,5,4,3,1,1,0,1,1,1,1,0,1,1,1,1,0,0,1,1,5,0,1,0,1,0,1,0,1,1,0,1,1,0
https://www.whisky.com/whisky-database/details/glenfarclas-2.html,Glenfarclas,Scotland,Speyside,Single Malt Whisky,Original bottling,https://www.whisky.com/whisky-database/details/glenfarclas-2.html,,4.2,676,462,15,46,Glenfarclas 15,0,0,0,1,1,1,1,1,1,0,1,2,1,1,1,1,1,4,1,0,1,1,1,0,7,0,0,1,1,1,1,1,1,1,0,1,6,1,1,1,1,1,2,1,10,1,3,3,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,5,1,1,0,1,1,1,1,1,1,0,2,0,0
https://www.whisky.com/whisky-database/details/bunnahabhain-02-liter-b-ware.html,Bunnahabhain,Scotland,Islay,Single Malt Whisky,Original bottling,https://www.whisky.com/whisky-database/details/bunnahabhain-02-liter-b-ware.html,"0,2 Liter",4.3,616,519,12,46.3,"Bunnahabhain 12 0,2 Liter",0,0,0,1,1,1,1,1,1,0,1,4,2,1,1,1,1,5,1,0,2,1,1,0,10,0,0,4,1,1,1,1,1,0,0,1,5,1,1,1,1,0,2,1,10,1,3,4,1,1,1,0,1,1,1,0,0,1,1,1,0,4,1,1,5,1,1,1,1,1,1,1,1,1,0,2,1,1
https://www.whisky.com/whisky-database/details/ardmore-port-wood-finish-1.html,Ardmore,Scotland,Speyside,Single Malt Whisky,Original bottling,https://www.whisky.com/whisky-database/details/ardmore-port-wood-finish-1.html,Port Wood Finish,4.4,597,514,12,46,Ardmore 12 Port Wood Finish,0,0,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,4,1,0,1,2,1,0,7,2,0,1,1,1,1,1,1,1,0,0,8,1,1,1,0,0,1,1,3,2,1,10,1,0,1,1,0,1,1,1,0,1,1,1,1,1,1,1,2,1,2,1,1,1,1,0,0,1,0,1,1,0
https://www.whisky.com/whisky-database/details/caol-ila.html,Caol Ila,Scotland,Islay,Single Malt Whisky,Original bottling,https://www.whisky.com/whisky-database/details/caol-ila.html,,3.9,572,316,12,43,Caol Ila 12,1,0,1,0,1,1,1,0,1,1,1,1,1,0,1,1,1,2,1,0,1,0,1,1,5,0,0,6,2,0,0,0,0,0,0,1,2,1,1,0,0,1,1,1,1,1,1,10,1,0,0,0,0,0,1,0,0,1,1,1,0,5,1,0,2,2,2,0,0,0,1,0,1,1,0,1,1,1
https://www.whisky.com/whisky-database/details/talisker-25.html,Talisker,Scotland,Islands,Single Malt Whisky,Original bottling,https://www.whisky.com/whisky-database/details/talisker-25.html,,4.1,571,338,10,45.8,Talisker 10,1,0,1,0,1,1,1,0,1,0,0,1,1,1,1,1,4,8,1,0,1,1,1,1,5,0,0,6,1,0,0,1,0,0,0,0,2,1,1,1,1,1,1,1,1,1,2,10,1,0,0,0,0,1,1,0,0,1,1,1,0,4,4,1,2,1,2,1,0,0,0,0,1,3,0,1,1,1
https://www.whisky.com/whisky-database/details/glenfarclas-whiskyde-clubflasche-2021.html,Glenfarclas,Scotland,Speyside,Single Malt Whisky,Original bottling,https://www.whisky.com/whisky-database/details/glenfarclas-whiskyde-clubflasche-2021.html,Whisky.de Clubflasche 2021,4.3,565,484,NAS,46,Glenfarclas Whisky.de Clubflasche 2021,0,0,0,1,1,1,0,1,1,0,1,2,1,1,1,1,1,4,1,0,3,1,1,0,8,1,0,0,1,1,1,1,1,1,0,0,5,2,1,1,1,1,2,1,10,1,2,1,1,0,1,0,1,0,1,1,0,1,1,0,0,0,1,1,6,0,1,1,1,1,1,0,0,0,0,1,0,0
https://www.whisky.com/whisky-database/details/glendronach-parliament-1.html,Glendronach,Scotland,Highlands,Single Malt Whisky,Original bottling,https://www.whisky.com/whisky-database/details/glendronach-parliament-1.html,Parliament,4.8,556,325,21,48,Glendronach 21 Parliament,0,0,0,1,1,1,0,0,1,0,2,2,1,1,3,1,1,7,1,0,1,1,1,0,7,0,0,1,0,1,1,1,1,0,1,0,6,2,1,1,0,1,3,1,10,1,1,1,1,0,1,0,1,1,1,0,0,1,1,0,0,1,1,1,5,0,1,1,1,1,1,0,0,1,0,2,0,0
https://www.whisky.com/whisky-database/details/oban.html,Oban,Scotland,Highlands,Single Malt Whisky,Original bottling,https://www.whisky.com/whisky-database/details/oban.html,,3.7,540,259,14,43,Oban 14,1,0,1,0,1,1,0,1,1,1,1,2,1,0,1,1,1,5,1,1,1,0,1,1,6,0,0,8,1,0,0,0,0,0,0,1,8,1,1,0,1,0,1,2,1,1,3,9,1,1,1,1,0,1,1,1,0,1,1,1,0,5,1,1,4,1,2,0,0,0,1,0,0,5,0,1,1,1
https://www.whisky.com/whisky-database/details/glenfiddich.html,Glenfiddich,Scotland,Speyside,Single Malt Whisky,Original bottling,https://www.whisky.com/whisky-database/details/glenfiddich.html,,3,504,181,12,40,Glenfiddich 12,1,0,1,0,0,3,0,0,2,0,1,2,2,1,1,2,1,3,1,1,2,0,1,0,7,0,0,0,0,0,0,0,0,0,0,1,9,1,1,1,1,1,1,1,1,2,7,3,1,0,0,1,0,1,1,1,0,1,1,0,0,0,1,1,6,1,1,0,0,0,1,0,1,0,0,0,0,0
https://www.whisky.com/whisky-database/details/aberfeldy-4.html,Aberfeldy,Scotland,Highlands,Single Malt Whisky,Original bottling,https://www.whisky.com/whisky-database/details/aberfeldy-4.html,,3.7,503,323,12,40,Aberfeldy 12,1,0,1,0,1,1,0,1,1,1,0,3,2,1,1,2,1,5,1,0,2,1,1,0,10,0,0,1,0,0,1,1,1,0,0,0,7,1,1,1,1,1,1,1,2,7,4,1,1,1,1,1,0,1,1,2,0,1,1,0,0,1,1,1,4,1,3,1,0,0,1,0,1,0,0,1,1,0
https://www.whisky.com/whisky-database/details/glenfarclas-02-liter.html,Glenfarclas,Scotland,Speyside,Single Malt Whisky,Original bottling,https://www.whisky.com/whisky-database/details/glenfarclas-02-liter.html,"0,2 Liter",4.7,502,337,25,43,"Glenfarclas 25 0,2 Liter",1,0,0,0,1,1,0,1,1,1,1,3,1,1,2,2,1,4,1,1,1,1,0,0,8,1,0,0,1,1,1,1,1,1,0,0,5,2,1,1,1,0,4,1,10,2,2,2,1,0,1,1,1,1,1,0,0,1,1,0,0,0,1,1,8,0,1,1,1,1,1,0,0,0,0,2,0,0
https://www.whisky.com/whisky-database/details/talisker-port-ruighe.html,Talisker,Scotland,Islands,Single Malt Whisky,Original bottling,https://www.whisky.com/whisky-database/details/talisker-port-ruighe.html,Port Ruighe,4.2,494,369,NAS,45.8,Talisker Port Ruighe,1,0,1,0,1,1,1,0,1,0,1,1,1,1,1,1,3,6,1,0,1,2,1,0,6,1,0,3,1,1,0,1,1,1,0,0,5,1,1,0,1,0,2,1,4,1,2,10,0,1,0,0,1,1,1,0,0,1,1,1,1,3,2,1,2,1,1,1,1,1,0,0,0,1,0,1,0,1
https://www.whisky.com/whisky-database/details/glendronach-allardice.html,Glendronach,Scotland,Highlands,Single Malt Whisky,Original bottling,https://www.whisky.com/whisky-database/details/glendronach-allardice.html,Allardice,4.7,490,297,18,46,Glendronach 18 Allardice,1,0,0,0,1,1,0,0,0,0,1,3,1,1,3,1,1,5,1,0,2,1,1,0,8,0,0,0,0,1,1,1,1,1,0,0,6,3,1,1,1,1,4,1,10,1,1,1,0,0,1,0,1,0,1,0,0,1,1,0,0,0,1,2,5,0,1,1,0,1,1,0,0,0,0,3,0,0
https://www.whisky.com/whisky-database/details/glenfarclas-4.html,Glenfarclas,Scotland,Speyside,Single Malt Whisky,Original bottling,https://www.whisky.com/whisky-database/details/glenfarclas-4.html,,3.9,477,336,12,43,Glenfarclas 12,1,0,0,0,1,1,0,1,1,1,1,2,2,1,1,1,1,5,1,1,2,1,1,0,7,0,0,0,0,0,1,0,0,0,0,0,6,1,1,1,1,1,1,1,10,1,3,2,0,1,0,1,1,1,0,1,0,1,1,0,0,0,1,1,6,0,1,0,1,1,1,0,0,0,0,1,1,0
https://www.whisky.com/whisky-database/details/laphroaig-quarter-cask-neue-ausstattung.html,Laphroaig,Scotland,Islay,Single Malt Whisky,Original bottling,https://www.whisky.com/whisky-database/details/laphroaig-quarter-cask-neue-ausstattung.html,Quarter Cask - new Casing,4.2,464,312,NAS,48,Laphroaig Quarter Cask - new Casing,0,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,3,0,1,1,0,1,0,6,0,0,3,2,0,1,1,0,0,0,1,2,1,1,0,1,0,1,1,1,1,1,10,1,1,1,0,0,1,1,0,0,1,0,1,0,3,1,0,4,3,1,1,0,0,0,0,1,1,1,1,0,1
